source,target,type
4033,3056,directed
3056,8539,directed
7854,2901,directed
2901,4162,directed
4162,5885,directed
5743,2583,directed
2583,3056,directed
3056,115,directed
1168,4991,directed
2369,1124,directed
5544,7937,directed
3621,5742,directed
5742,9516,directed
9516,5988,directed
420,837,directed
6079,6077,directed
6077,8513,directed
6416,3353,directed
3353,584,directed
5235,6704,directed
6704,2055,directed
7110,8514,directed
4531,2734,directed
2734,837,directed
9517,3410,directed
437,8322,directed
4410,7773,directed
7773,4930,directed
7135,4864,directed
1065,7889,directed
7889,8759,directed
2856,1017,directed
1688,5742,directed
4214,2541,directed
2541,7166,directed
7166,7890,directed
7890,8689,directed
9452,4312,directed
2148,4729,directed
2240,2707,directed
2707,8775,directed
8400,7905,directed
7905,5000,directed
5000,1035,directed
1035,1607,directed
7075,1826,directed
1826,2971,directed
5195,572,directed
572,4269,directed
4930,7591,directed
9012,289,directed
289,3744,directed
9549,1394,directed
1394,3221,directed
3221,7890,directed
7890,8520,directed
8520,115,directed
5694,5195,directed
5195,4073,directed
1257,4119,directed
4119,6426,directed
6426,755,directed
4583,5742,directed
2341,3056,directed
3056,5245,directed
5245,6665,directed
6665,3056,directed
3056,9482,directed
1462,8328,directed
8328,8238,directed
8238,3056,directed
3056,5376,directed
938,289,directed
981,39,directed
6875,8335,directed
2624,1526,directed
6292,4373,directed
4373,7184,directed
3727,4073,directed
9252,7905,directed
7905,3057,directed
3057,7166,directed
7166,1411,directed
1411,2343,directed
4974,7905,directed
7905,4069,directed
8739,2454,directed
1257,736,directed
736,5651,directed
3621,5742,directed
5742,9516,directed
9516,5988,directed
2856,7033,directed
1731,1913,directed
1913,4269,directed
566,9616,directed
6397,7905,directed
7905,9130,directed
9130,7110,directed
6416,7890,directed
7890,7204,directed
7204,5925,directed
8728,557,directed
3085,7403,directed
7254,1411,directed
1411,6272,directed
6272,6079,directed
3621,5742,directed
5742,9516,directed
9516,5988,directed
6518,4531,directed
7500,543,directed
543,2816,directed
2816,804,directed
804,7985,directed
7985,4269,directed
4269,9134,directed
9134,6774,directed
3621,9252,directed
9252,5988,directed
4433,7058,directed
2588,6437,directed
6437,5196,directed
5196,850,directed
850,3109,directed
1667,5651,directed
3571,6013,directed
6013,5742,directed
5213,3056,directed
3056,8118,directed
